TANKDIAGRAM TNK 2 WATERPLANE DATA Group 98; Version 3.0
Tankfilling [m], Tankfilling [% of h_tank], Area [m2], lca [m],tca [m],vca [m], Inertia_x [m4], Inertia_y [m4], Inertia_z [m4]
0.011,0.1834,340,73.4063,0,2.011,2833.3333,32753.3333,35586.6667
1.0073,16.7917,340,73.4063,0,3.0073,2833.3333,32753.3333,35586.6667
2.0037,33.4,340,73.4063,0,4.0037,2833.3333,32753.3333,35586.6667
3,50.0083,340,73.4063,0,5,2833.3333,32753.3333,35586.6667
3.9963,66.6167,340,73.4063,0,5.9963,2833.3333,32753.3333,35586.6667
4.9927,83.225,340,73.4063,0,6.9927,2833.3333,32753.3333,35586.6667
5.989,99.8333,340,73.4063,0,7.989,2833.3333,32753.3333,35586.6667
