TANKDIAGRAM TNK 3 WATERPLANE DATA Group 98; Version 3.0
Tankfilling [m], Tankfilling [% of h_tank], Area [m2], lca [m],tca [m],vca [m], Inertia_x [m4], Inertia_y [m4], Inertia_z [m4]
0.0104,0.1296,16.6922,88.0433,-0.5067,0.02,2.0588,383.1559,385.2147
1.3385,16.7538,517.4002,81.7414,-2.8322,1.3482,1691.2068,319331.2655,321022.4723
2.6667,33.378,189.1684,75.7012,-6.229,2.6763,118.8408,80785.8407,80904.6815
3.9949,50.0022,278.0647,74.5186,-6.5018,4.0045,256.631,172521.4078,172778.0388
5.323,66.6264,338.2269,73.1603,-6.6115,5.3327,354.3478,271654.0071,272008.3549
6.6512,83.2506,372.3745,71.2804,-6.6271,6.6608,400.1992,358726.5745,359126.7737
7.9794,99.8748,388.685,69.6022,-6.6231,7.989,420.46,413479.6878,413900.1478
