TANKDIAGRAM TNK 1 WATERPLANE DATA Group 98; Version 2.0, 
Tankfilling [m], Tankfilling [% of h_tank], Area [m2], lca [m],tca [m],vca [m], Inertia_x [m4], Inertia_y [m4], Inertia_z [m4]
0.0096,0.1912,420.3308,68.2223,6.2826,0.009,6912.3357,38364.3995,45276.7352
0.8394,16.7893,553.4325,71.8291,6.8114,0.8388,9706.5055,72072.6096,81779.1151
1.6692,33.3875,354.834,71.0304,9.5755,1.6687,2801.1928,41949.6049,44750.7977
2.4991,49.9856,360.682,71.343,9.5712,2.4985,2834.6305,44170.8777,47005.5082
3.3289,66.5837,363.8787,71.5165,9.5675,3.3283,2852.7247,45448.9553,48301.68
4.1587,83.1819,365.8922,71.6269,9.5647,4.1582,2864.1476,46281.5806,49145.7282
4.9886,99.78,367.2871,71.7036,9.5625,4.988,2872.1014,46867.5034,49739.6049
