TANKDIAGRAM TNK 2 WATERPLANE DATA Group 98; Version 2.0
Tankfilling [m], Tankfilling [% of h_tank], Area [m2], lca [m],tca [m],vca [m], Inertia_x [m4], Inertia_y [m4], Inertia_z [m4]
0.011,0.2751,340,72.5309,0,1.011,2833.3333,32753.3333,35586.6667
0.674,16.8542,340,72.5309,0,1.674,2833.3333,32753.3333,35586.6667
1.337,33.4334,340,72.5309,0,2.337,2833.3333,32753.3333,35586.6667
2,50.0125,340,72.5309,0,3,2833.3333,32753.3333,35586.6667
2.663,66.5916,340,72.5309,0,3.663,2833.3333,32753.3333,35586.6667
3.326,83.1708,340,72.5309,0,4.326,2833.3333,32753.3333,35586.6667
3.989,99.7499,340,72.5309,0,4.989,2833.3333,32753.3333,35586.6667
