TANKDIAGRAM TNK 3 WATERPLANE DATA Group 98; Version 2.0
Tankfilling [m], Tankfilling [% of h_tank], Area [m2], lca [m],tca [m],vca [m], Inertia_x [m4], Inertia_y [m4], Inertia_z [m4]
0.0106,0.2112,421.4645,68.2596,-6.2831,0.01,6935.1681,38677.686,45612.8541
0.8404,16.8093,553.4801,71.8304,-6.8116,0.8398,9707.5214,72086.0614,81793.5828
1.6702,33.4075,354.8435,71.0309,-9.5755,1.6697,2801.2477,41953.1649,44754.4126
2.5001,50.0056,360.687,71.3433,-9.5711,2.4995,2834.6591,44172.8414,47007.5005
3.3299,66.6037,363.8817,71.5166,-9.5675,3.3293,2852.7414,45450.167,48302.9085
4.1597,83.2019,365.8942,71.627,-9.5646,4.1592,2864.1589,46282.4111,49146.57
4.9896,99.8,367.2885,71.7037,-9.5625,4.989,2872.1095,46868.1012,49740.2107
