TANKDIAGRAM TNK 3 WATERPLANE DATA Group 10; Version 1.0
Tankfilling [m], Tankfilling [% of h_tank], Area [m2], lca [m],tca [m],vca [m], Inertia_x [m4], Inertia_y [m4], Inertia_z [m4]
0.0107,0.2141,26.103,33.9697,-4.6437,0.017,21.2974,235.4877,256.7851
0.8394,16.8117,254.6905,27.4042,-7.7408,0.8457,1687.9719,17117.5188,18805.4907
1.668,33.4093,348.4527,23.876,-8.0697,1.6743,2745.9054,37774.4101,40520.3155
2.4967,50.0069,425.4303,20.9857,-8.2525,2.503,3688.1607,63813.6186,67501.7793
3.3254,66.6045,466.833,19.7735,-8.4961,3.3317,4295.3316,77697.322,81992.6535
4.154,83.2021,483.111,19.4662,-8.6496,4.1603,4642.1991,81607.827,86250.0261
4.9827,99.7997,489.9937,19.3425,-8.7165,4.989,4801.3784,83160.2062,87961.5846
