TANKDIAGRAM TNK 1 WATERPLANE DATA Group 98; Version 3.0, 
Tankfilling [m], Tankfilling [% of h_tank], Area [m2], lca [m],tca [m],vca [m], Inertia_x [m4], Inertia_y [m4], Inertia_z [m4]
0.0094,0.117,14.6678,87.8435,0.4744,0.019,1.5779,293.6766,295.2545
1.3375,16.7413,517.1941,81.7467,2.8316,1.3472,1689.9337,319080.2479,320770.1816
2.6657,33.3655,189.0929,75.7021,6.2287,2.6753,118.7424,80724.5648,80843.3071
3.9939,49.9897,278.0076,74.5195,6.5017,4.0035,256.5332,172446.8182,172703.3514
5.322,66.6139,338.1931,73.1615,6.6115,5.3317,354.2995,271582.2182,271936.5177
6.6502,83.2381,372.3554,71.2821,6.6271,6.6598,400.1745,358667.5757,359067.7502
7.9784,99.8623,388.6808,69.6025,6.6231,7.988,420.4545,413468.1387,413888.5932
