TANKDIAGRAM TNK 2 WATERPLANE DATA Group 10; Version 1.0
Tankfilling [m], Tankfilling [% of h_tank], Area [m2], lca [m],tca [m],vca [m], Inertia_x [m4], Inertia_y [m4], Inertia_z [m4]
0.0108,0.2163,121.7317,39.2544,0,0.011,359.0835,4271.0849,4630.1684
0.8405,16.8135,227.8,33.9131,0,0.8407,852.1618,21944.7333,22796.8952
1.6701,33.4108,227.8,33.9131,0,1.6703,852.1618,21944.7333,22796.8952
2.4998,50.0081,227.8,33.9131,0,2.5,852.1618,21944.7333,22796.8952
3.3295,66.6054,227.8,33.9131,0,3.3297,852.1618,21944.7333,22796.8952
4.1591,83.2027,227.8,33.9131,0,4.1593,852.1618,21944.7333,22796.8952
4.9888,99.8,227.8,33.9131,0,4.989,852.1618,21944.7333,22796.8952
