TANKDIAGRAM TNK 3 WATERPLANE DATA Group 10; Version 1.0
Tankfilling [m], Tankfilling [% of h_tank], Area [m2], lca [m],tca [m],vca [m], Inertia_x [m4], Inertia_y [m4], Inertia_z [m4]
0.01,0.1334,206.2059,28.9668,-7.4904,0.01,1178.3586,10651.1341,11829.4927
1.2565,16.7556,306.5626,24.6252,-7.8437,1.2565,2084.4158,29020.3541,31104.7698
2.503,33.3778,349.8905,22.1857,-7.7726,2.503,2343.2309,43920.1091,46263.34
3.7495,50,384.3406,20.1977,-7.7059,3.7495,2542.4637,59509.3224,62051.7861
4.996,66.6222,398.1736,19.4117,-7.7222,4.996,2604.9021,66409.8118,69014.7139
6.2425,83.2444,400.4683,19.2894,-7.7371,6.2425,2621.0183,67464.6927,70085.711
7.489,99.8666,401.1097,19.2559,-7.7418,7.489,2626.5703,67750.5032,70377.0734
