TANKDIAGRAM TNK 1 WATERPLANE DATA Group 10; Version 1.0, 
Tankfilling [m], Tankfilling [% of h_tank], Area [m2], lca [m],tca [m],vca [m], Inertia_x [m4], Inertia_y [m4], Inertia_z [m4]
0.009,0.12,205.6366,28.9882,7.4862,0.009,1172.686,10585.2529,11757.9389
1.2555,16.7422,306.5224,24.6274,7.8437,1.2555,2084.1703,29008.5864,31092.7567
2.502,33.3644,349.8599,22.1874,7.7727,2.502,2343.0511,43907.8836,46250.9346
3.7485,49.9867,384.3155,20.1991,7.706,3.7485,2542.322,59496.5531,62038.875
4.995,66.6089,398.1702,19.4119,7.7222,4.995,2604.8813,66408.1988,69013.0801
6.2415,83.2311,400.4674,19.2894,7.7371,6.2415,2621.0111,67464.293,70085.3041
7.488,99.8533,401.1094,19.2559,7.7418,7.488,2626.5677,67750.3848,70376.9525
