TANKDIAGRAM TNK 1 WATERPLANE DATA Group 98; Version 1.0, 
Tankfilling [m], Tankfilling [% of h_tank], Area [m2], lca [m],tca [m],vca [m], Inertia_x [m4], Inertia_y [m4], Inertia_z [m4]
0.009,0.0692,233.6112,36.0267,6.1105,0.009,638.7973,32961.9788,33600.7761
2.1722,16.7103,355.8972,33.8234,6.5485,2.1722,1280.8896,86920.5495,88201.4392
4.3353,33.3513,390.972,31.1785,6.5545,4.3353,1407.7887,114845.0701,116252.8587
6.4985,49.9923,422.0759,28.8302,6.5577,6.4985,1519.935,144178.4615,145698.3965
8.6617,66.6333,429.9059,28.2463,6.5782,8.6617,1560.5628,152087.6233,153648.1861
10.8248,83.2744,430.1104,28.2314,6.5798,10.8248,1562.8846,152287.8881,153850.7727
12.988,99.9154,430.1239,28.2304,6.5799,12.988,1563.0424,152300.9273,153863.9697
