TANKDIAGRAM TNK 2 WATERPLANE DATA Group 98; Version 1.0
Tankfilling [m], Tankfilling [% of h_tank], Area [m2], lca [m],tca [m],vca [m], Inertia_x [m4], Inertia_y [m4], Inertia_z [m4]
0.01,0.0769,227.8,33.9131,0,0.01,852.1618,21944.7333,22796.8952
2.1732,16.718,227.8,33.9131,0,2.1732,852.1618,21944.7333,22796.8952
4.3363,33.359,227.8,33.9131,0,4.3363,852.1618,21944.7333,22796.8952
6.4995,50,227.8,33.9131,0,6.4995,852.1618,21944.7333,22796.8952
8.6627,66.641,227.8,33.9131,0,8.6627,852.1618,21944.7333,22796.8952
10.8258,83.282,227.8,33.9131,0,10.8258,852.1618,21944.7333,22796.8952
12.989,99.9231,227.8,33.9131,0,12.989,852.1618,21944.7333,22796.8952
