TANKDIAGRAM TNK 3 WATERPLANE DATA Group 98; Version 1.0
Tankfilling [m], Tankfilling [% of h_tank], Area [m2], lca [m],tca [m],vca [m], Inertia_x [m4], Inertia_y [m4], Inertia_z [m4]
0.01,0.0769,234.9178,36.0778,-6.1149,0.01,644.0295,33414.7519,34058.7813
2.1732,16.718,355.9151,33.8221,-6.5485,2.1732,1280.9548,86933.5239,88214.4787
4.3363,33.359,390.987,31.1773,-6.5545,4.3363,1407.843,114858.1999,116266.0429
6.4995,50,422.0898,28.8291,-6.5577,6.4995,1519.9848,144192.5036,145712.4884
8.6627,66.641,429.9062,28.2463,-6.5782,8.6627,1560.5666,152087.9626,153648.5292
10.8258,83.282,430.1104,28.2314,-6.5798,10.8258,1562.8848,152287.9044,153850.7892
12.989,99.9231,430.1239,28.2304,-6.5799,12.989,1563.0424,152300.9284,153863.9709
