TANKDIAGRAM TNK 2 WATERPLANE DATA Group 10; Version 1.0
Tankfilling [m], Tankfilling [% of h_tank], Area [m2], lca [m],tca [m],vca [m], Inertia_x [m4], Inertia_y [m4], Inertia_z [m4]
0.01,0.1334,227.8,33.9131,0,0.01,852.1618,21944.7333,22796.8952
1.2565,16.7556,227.8,33.9131,0,1.2565,852.1618,21944.7333,22796.8952
2.503,33.3778,227.8,33.9131,0,2.503,852.1618,21944.7333,22796.8952
3.7495,50,227.8,33.9131,0,3.7495,852.1618,21944.7333,22796.8952
4.996,66.6222,227.8,33.9131,0,4.996,852.1618,21944.7333,22796.8952
6.2425,83.2444,227.8,33.9131,0,6.2425,852.1618,21944.7333,22796.8952
7.489,99.8666,227.8,33.9131,0,7.489,852.1618,21944.7333,22796.8952
